,firstname,surname,born,died,bornCountry,bornCity,gender,year,category,affiliation,city,country,identity
436,George H.,Hitchings,1905-04-18,1998-02-27,USA,Hoquiam WA,male,1988,medicine,Wellcome Research Laboratories,Research Triangle Park NC,USA,
437,J. Michael,Bishop,1936-02-22,0000-00-00,USA,York PA,male,1989,medicine,University of California School of Medicine,San Francisco CA,USA,
438,Harold E.,Varmus,1939-12-18,0000-00-00,USA,Oceanside NY,male,1989,medicine,University of California School of Medicine,San Francisco CA,USA,
439,Joseph E.,Murray,1919-04-01,2012-11-26,USA,Milford MA,male,1990,medicine,Brigham and Women's Hospital,Boston MA,USA,
440,E. Donnall,Thomas,1920-03-15,2012-10-20,USA,Mart TX,male,1990,medicine,Fred Hutchinson Cancer Research Center,Seattle WA,USA,
441,Erwin,Neher,1944-03-20,0000-00-00,Germany,Landsberg,male,1991,medicine,Max-Planck-Institut für Biophysikalische Chemie,Göttingen,Germany,
442,Bert,Sakmann,1942-06-12,0000-00-00,Germany,Stuttgart,male,1991,medicine,Max-Planck-Institut für medizinische Forschung,Heidelberg,Germany,
443,Edmond H.,Fischer,1920-04-06,2021-08-27,China,Shanghai,male,1992,medicine,University of Washington,Seattle WA,USA,
444,Edwin G.,Krebs,1918-06-06,2009-12-21,USA,Lansing IA,male,1992,medicine,University of Washington,Seattle WA,USA,
445,Richard J.,Roberts,1943-09-06,0000-00-00,United Kingdom,Derby,male,1993,medicine,New England Biolabs,Beverly MA,USA,
446,Phillip A.,Sharp,1944-06-06,0000-00-00,USA,Falmouth KY,male,1993,medicine,Massachusetts Institute of Technology (MIT) Center for Cancer Research,Cambridge MA,USA,
447,Alfred G.,Gilman,1941-07-01,2015-12-23,USA,New Haven CT,male,1994,medicine,University of Texas Southwestern Medical Center at Dallas,Dallas TX,USA,
448,Martin,Rodbell,1925-12-01,1998-12-07,USA,Baltimore MD,male,1994,medicine,National Institute of Environmental Health Sciences,Research Triangle Park NC,USA,
449,Edward B.,Lewis,1918-05-20,2004-07-21,USA,Wilkes-Barre PA,male,1995,medicine,California Institute of Technology (Caltech),Pasadena CA,USA,
450,Christiane,Nüsslein-Volhard,1942-10-20,0000-00-00,Germany,Magdeburg,female,1995,medicine,Max-Planck-Institut für Entwicklungsbiologie,Tübingen,Germany,
451,Eric F.,Wieschaus,1947-06-08,0000-00-00,USA,South Bend IN,male,1995,medicine,Princeton University,Princeton NJ,USA,
452,Peter C.,Doherty,1940-10-15,0000-00-00,Australia,Brisbane,male,1996,medicine,St. Jude Children's Research Hospital,Memphis TN,USA,
453,Rolf M.,Zinkernagel,1944-01-06,0000-00-00,Switzerland,Basel,male,1996,medicine,University of Zurich Institute of Experimental Immunology,Zurich,Switzerland,
454,Stanley B.,Prusiner,1942-05-28,0000-00-00,USA,Des Moines IA,male,1997,medicine,University of California School of Medicine,San Francisco CA,USA,
455,Robert F.,Furchgott,1916-06-04,2009-05-19,USA,Charleston SC,male,1998,medicine,SUNY Health Science Center,Brooklyn NY,USA,
456,Louis J.,Ignarro,1941-05-31,0000-00-00,USA,Brooklyn NY,male,1998,medicine,University of California School of Medicine,Los Angeles CA,USA,
457,Ferid,Murad,1936-09-14,2023-09-04,USA,Whiting IN,male,1998,medicine,University of Texas Medical School at Houston,Houston TX,USA,
458,Günter,Blobel,1936-05-21,2018-02-18,Poland,Niegoslawice,male,1999,medicine,Rockefeller University,New York NY,USA,
459,Ragnar,Frisch,1895-03-03,1973-01-31,Norway,Oslo,male,1969,economics,University of Oslo,Oslo,Norway,
460,Jan,Tinbergen,1903-04-12,1994-06-09,the Netherlands,the Hague,male,1969,economics,The Netherlands School of Economics,Rotterdam,the Netherlands,
461,Paul A.,Samuelson,1915-05-15,2009-12-13,USA,Gary IN,male,1970,economics,Massachusetts Institute of Technology (MIT),Cambridge MA,USA,
462,Simon,Kuznets,1901-04-30,1985-07-08,Belarus,Pinsk,male,1971,economics,Harvard University,Cambridge MA,USA,
463,John R.,Hicks,1904-04-08,1989-05-20,United Kingdom,Warwick,male,1972,economics,All Souls College,Oxford,United Kingdom,
464,Kenneth J.,Arrow,1921-08-23,2017-02-21,USA,New York NY,male,1972,economics,Harvard University,Cambridge MA,USA,
465,Wassily,Leontief,1906-08-05,1999-02-05,Russia,St. Petersburg,male,1973,economics,Harvard University,Cambridge MA,USA,
466,Gunnar,Myrdal,1898-12-06,1987-05-17,Sweden,Skattungbyn,male,1974,economics,,,,
467,Friedrich,von Hayek,1899-05-08,1992-03-23,Austria,Vienna,male,1974,economics,,,,
468,Leonid Vitaliyevich,Kantorovich,1912-01-19,1986-04-07,Russia,St. Petersburg,male,1975,economics,Academy of Sciences,Moscow,USSR (now Russia),
469,Tjalling C.,Koopmans,1910-08-28,1985-02-26,the Netherlands,'s Graveland,male,1975,economics,Yale University,New Haven CT,USA,
470,Milton,Friedman,1912-07-31,2006-11-16,USA,Brooklyn NY,male,1976,economics,University of Chicago,Chicago IL,USA,
471,Bertil,Ohlin,1899-04-23,1979-08-03,Sweden,Klippan,male,1977,economics,Stockholm School of Economics,Stockholm,Sweden,
472,James E.,Meade,1907-06-23,1995-12-22,United Kingdom,Swanage,male,1977,economics,University of Cambridge,Cambridge,United Kingdom,
473,Herbert,Simon,1916-06-15,2001-02-09,USA,Milwaukee WI,male,1978,economics,Carnegie Mellon University,Pittsburgh PA,USA,
474,Theodore W.,Schultz,1902-04-30,1998-02-26,USA,Arlington SD,male,1979,economics,University of Chicago,Chicago IL,USA,
475,Sir Arthur,Lewis,1915-01-23,1991-06-15,Saint Lucia,Castries,male,1979,economics,Princeton University,Princeton NJ,USA,Black
476,Lawrence R.,Klein,1920-09-14,2013-10-20,USA,Omaha NE,male,1980,economics,University of Pennsylvania,Philadelphia PA,USA,
477,James,Tobin,1918-03-05,2002-03-11,USA,Champaign IL,male,1981,economics,Yale University,New Haven CT,USA,
478,George J.,Stigler,1911-01-17,1991-12-01,USA,Renton WA,male,1982,economics,University of Chicago,Chicago IL,USA,
479,Gerard,Debreu,1921-07-04,2004-12-31,France,Calais,male,1983,economics,University of California,Berkeley CA,USA,
480,Richard,Stone,1913-08-30,1991-12-06,United Kingdom,London,male,1984,economics,University of Cambridge,Cambridge,United Kingdom,
